"row","pop_group","age_group","indicator_category","indicator","value","n","sum","Year","row_index"
NA,"DSS in past","03-18","Housing","Address type","""Hotel, motel or guest accommo",12,"NULL",2018,1393
NA,"DSS in past","03-18","Housing","Address type","""Youth, school or Scout/Guide",0,"NULL",2018,1394
NA,"DSS in past","03-18","Housing","Address type","Boarding house",0,"NULL",2018,1395
NA,"DSS in past","03-18","Housing","Address type","Dwelling in a motor camp",0,"NULL",2018,1396
NA,"DSS in past","03-18","Housing","Address type","Educational institution",45,"NULL",2018,1397
NA,"DSS in past","03-18","Housing","Address type","Improvised dwelling or shelter",12,"NULL",2018,1398
NA,"DSS in past","03-18","Housing","Address type","Joined dwelling in a four to s",6,"NULL",2018,1399
NA,"DSS in past","03-18","Housing","Address type","Joined dwelling in a one store",213,"NULL",2018,1400
NA,"DSS in past","03-18","Housing","Address type","Joined dwelling in a ten or mo",0,"NULL",2018,1401
NA,"DSS in past","03-18","Housing","Address type","Joined dwelling in a two or th",180,"NULL",2018,1402
NA,"DSS in past","03-18","Housing","Address type","Joined dwelling no storey info",69,"NULL",2018,1403
NA,"DSS in past","03-18","Housing","Address type","Mobile dwelling not in a motor",12,"NULL",2018,1404
NA,"DSS in past","03-18","Housing","Address type","Motor camp/camping ground",6,"NULL",2018,1405
NA,"DSS in past","03-18","Housing","Address type","NULL",54,"NULL",2018,1406
NA,"DSS in past","03-18","Housing","Address type","Prison or penal institution",6,"NULL",2018,1407
NA,"DSS in past","03-18","Housing","Address type","Religious institution",0,"NULL",2018,1408
NA,"DSS in past","03-18","Housing","Address type","Residential and community care",6,"NULL",2018,1409
NA,"DSS in past","03-18","Housing","Address type","Separate house no storey infor",552,"NULL",2018,1410
NA,"DSS in past","03-18","Housing","Address type","Separate house with one storey",3810,"NULL",2018,1411
NA,"DSS in past","03-18","Housing","Address type","Separate house with two or mor",1263,"NULL",2018,1412
NA,"DSS in past","03-18","Housing","Address type","Welfare institution",0,"NULL",2018,1413
NA,"DSS in past","03-18","Housing","In public housing","0",5883,"NULL",2018,1414
NA,"DSS in past","03-18","Housing","In public housing","1",366,"NULL",2018,1415
NA,"DSS in past","03-18","Housing","Live with grandparent","0",6006,"NULL",2018,1416
NA,"DSS in past","03-18","Housing","Live with grandparent","1",243,"NULL",2018,1417
NA,"DSS in past","03-18","Housing","Live with parent","0",2232,"NULL",2018,1418
NA,"DSS in past","03-18","Housing","Live with parent","1",4020,"NULL",2018,1419
NA,"DSS in past","03-18","Housing","On social housing waitlist","0",6183,"NULL",2018,1420
NA,"DSS in past","03-18","Housing","On social housing waitlist","1",69,"NULL",2018,1421
NA,"DSS in past","03-18","Housing","Parent accomodation supplement","0",4191,"NULL",2018,1422
NA,"DSS in past","03-18","Housing","Parent accomodation supplement","1",2064,"NULL",2018,1423
NA,"DSS in past","03-18","Justice","Offender - any offence","0",5739,"NULL",2018,1424
NA,"DSS in past","03-18","Justice","Offender - any offence","1",513,"NULL",2018,1425
NA,"DSS in past","03-18","Justice","Offender - violent offence","0",6018,"NULL",2018,1426
NA,"DSS in past","03-18","Justice","Offender - violent offence","1",231,"NULL",2018,1427
NA,"DSS in past","03-18","Justice","Served community sentence ever","0",6219,"NULL",2018,1428
NA,"DSS in past","03-18","Justice","Served community sentence ever","1",30,"NULL",2018,1429
NA,"DSS in past","03-18","Justice","Served community sentence in 2018","0",6228,"NULL",2018,1430
NA,"DSS in past","03-18","Justice","Served community sentence in 2018","1",24,"NULL",2018,1431
NA,"DSS in past","03-18","Justice","Served custodial sentence ever","0",6228,"NULL",2018,1432
NA,"DSS in past","03-18","Justice","Served custodial sentence ever","1",24,"NULL",2018,1433
NA,"DSS in past","03-18","Justice","Served custodial sentence in 2018","0",6240,"NULL",2018,1434
NA,"DSS in past","03-18","Justice","Served custodial sentence in 2018","1",9,"NULL",2018,1435
NA,"DSS in past","03-18","Justice","Victim - any offence","0",5703,"NULL",2018,1436
NA,"DSS in past","03-18","Justice","Victim - any offence","1",549,"NULL",2018,1437
NA,"DSS in past","03-18","Justice","Victim - violent offence","0",5769,"NULL",2018,1438
NA,"DSS in past","03-18","Justice","Victim - violent offence","1",480,"NULL",2018,1439
NA,"DSS in past","03-18","Need","ACC - Case management","0",6171,"NULL",2018,1440
NA,"DSS in past","03-18","Need","ACC - Case management","1",81,"NULL",2018,1441
NA,"DSS in past","03-18","Need","ACC - Sensitive claim","0",6201,"NULL",2018,1442
NA,"DSS in past","03-18","Need","ACC - Sensitive claim","1",51,"NULL",2018,1443
NA,"DSS in past","03-18","Need","ACC - Serious injury","0",6207,"NULL",2018,1444
NA,"DSS in past","03-18","Need","ACC - Serious injury","1",48,"NULL",2018,1445
NA,"DSS in past","03-18","Need","ACC - Workers Compensation","0",6249,"NULL",2018,1446
NA,"DSS in past","03-18","Need","ACC - Workers Compensation","1",0,"NULL",2018,1447
NA,"DSS in past","03-18","Need","ADHD","0",5364,"NULL",2018,1448
NA,"DSS in past","03-18","Need","ADHD","1",885,"NULL",2018,1449
NA,"DSS in past","03-18","Need","Amputation of hand/arm","0",6237,"NULL",2018,1450
NA,"DSS in past","03-18","Need","Amputation of hand/arm","1",15,"NULL",2018,1451
NA,"DSS in past","03-18","Need","Ataxia","0",6237,"NULL",2018,1452
NA,"DSS in past","03-18","Need","Ataxia","1",12,"NULL",2018,1453
NA,"DSS in past","03-18","Need","Autism Spectrum Disorder","0",4467,"NULL",2018,1454
NA,"DSS in past","03-18","Need","Autism Spectrum Disorder","1",1785,"NULL",2018,1455
NA,"DSS in past","03-18","Need","Bipolar","0",6243,"NULL",2018,1456
NA,"DSS in past","03-18","Need","Bipolar","1",6,"NULL",2018,1457
NA,"DSS in past","03-18","Need","Blind or nearly blind","0",6171,"NULL",2018,1458
NA,"DSS in past","03-18","Need","Blind or nearly blind","1",81,"NULL",2018,1459
NA,"DSS in past","03-18","Need","Cerebral Palsy","0",5958,"NULL",2018,1460
NA,"DSS in past","03-18","Need","Cerebral Palsy","1",291,"NULL",2018,1461
NA,"DSS in past","03-18","Need","Deaf or nearly deaf","0",6141,"NULL",2018,1462
NA,"DSS in past","03-18","Need","Deaf or nearly deaf","1",111,"NULL",2018,1463
NA,"DSS in past","03-18","Need","Developmental Delay","0",4323,"NULL",2018,1464
NA,"DSS in past","03-18","Need","Developmental Delay","1",1926,"NULL",2018,1465
NA,"DSS in past","03-18","Need","Down Syndrome","0",6159,"NULL",2018,1466
NA,"DSS in past","03-18","Need","Down Syndrome","1",90,"NULL",2018,1467
NA,"DSS in past","03-18","Need","Foetal Alcohol Spectrum Disorder","0",6168,"NULL",2018,1468
NA,"DSS in past","03-18","Need","Foetal Alcohol Spectrum Disorder","1",84,"NULL",2018,1469
NA,"DSS in past","03-18","Need","Fragile X","0",6249,"NULL",2018,1470
NA,"DSS in past","03-18","Need","Fragile X","1",0,"NULL",2018,1471
NA,"DSS in past","03-18","Need","Generalised Anxiety Disorder","0",6207,"NULL",2018,1472
NA,"DSS in past","03-18","Need","Generalised Anxiety Disorder","1",45,"NULL",2018,1473
NA,"DSS in past","03-18","Need","Huntingtons","0",6249,"NULL",2018,1474
NA,"DSS in past","03-18","Need","Huntingtons","1",0,"NULL",2018,1475
NA,"DSS in past","03-18","Need","Incontinence (faecal/urinary)","0",5250,"NULL",2018,1476
NA,"DSS in past","03-18","Need","Incontinence (faecal/urinary)","1",1002,"NULL",2018,1477
NA,"DSS in past","03-18","Need","Intellectual Disability","0",4944,"NULL",2018,1478
NA,"DSS in past","03-18","Need","Intellectual Disability","1",1308,"NULL",2018,1479
NA,"DSS in past","03-18","Need","Klinefelters Syndrome","0",6243,"NULL",2018,1480
NA,"DSS in past","03-18","Need","Klinefelters Syndrome","1",6,"NULL",2018,1481
NA,"DSS in past","03-18","Need","Major Depressive Disorder","0",5973,"NULL",2018,1482
NA,"DSS in past","03-18","Need","Major Depressive Disorder","1",279,"NULL",2018,1483
NA,"DSS in past","03-18","Need","Motor Neuron Disease","0",6252,"NULL",2018,1484
NA,"DSS in past","03-18","Need","Multiple Sclerosis","0",6249,"NULL",2018,1485
NA,"DSS in past","03-18","Need","Multiple Sclerosis","1",0,"NULL",2018,1486
NA,"DSS in past","03-18","Need","Muscular Dystrophy","0",6222,"NULL",2018,1487
NA,"DSS in past","03-18","Need","Muscular Dystrophy","1",27,"NULL",2018,1488
NA,"DSS in past","03-18","Need","Osteoarthritis","0",6129,"NULL",2018,1489
NA,"DSS in past","03-18","Need","Osteoarthritis","1",123,"NULL",2018,1490
NA,"DSS in past","03-18","Need","Polio","0",6252,"NULL",2018,1491
NA,"DSS in past","03-18","Need","Schizophrenia","0",6237,"NULL",2018,1492
NA,"DSS in past","03-18","Need","Schizophrenia","1",12,"NULL",2018,1493
NA,"DSS in past","03-18","Need","Spina Bifida","0",6222,"NULL",2018,1494
NA,"DSS in past","03-18","Need","Spina Bifida","1",30,"NULL",2018,1495
NA,"DSS in past","03-18","Need","Stroke","0",6180,"NULL",2018,1496
NA,"DSS in past","03-18","Need","Stroke","2",0,"NULL",2018,1497
NA,"DSS in past","03-18","Need","Stroke","3",69,"NULL",2018,1498
NA,"DSS in past","03-18","Need","WGSS - Communication","1",2982,"NULL",2018,1499
NA,"DSS in past","03-18","Need","WGSS - Communication","2",1098,"NULL",2018,1500
NA,"DSS in past","03-18","Need","WGSS - Communication","3",369,"NULL",2018,1501
NA,"DSS in past","03-18","Need","WGSS - Communication","4",60,"NULL",2018,1502
NA,"DSS in past","03-18","Need","WGSS - Communication","5",1740,"NULL",2018,1503
NA,"DSS in past","03-18","Need","WGSS - Hearing","1",3981,"NULL",2018,1504
NA,"DSS in past","03-18","Need","WGSS - Hearing","2",423,"NULL",2018,1505
NA,"DSS in past","03-18","Need","WGSS - Hearing","3",84,"NULL",2018,1506
NA,"DSS in past","03-18","Need","WGSS - Hearing","4",18,"NULL",2018,1507
NA,"DSS in past","03-18","Need","WGSS - Hearing","5",1743,"NULL",2018,1508
NA,"DSS in past","03-18","Need","WGSS - Remembering","1",2466,"NULL",2018,1509
NA,"DSS in past","03-18","Need","WGSS - Remembering","2",1446,"NULL",2018,1510
NA,"DSS in past","03-18","Need","WGSS - Remembering","3",573,"NULL",2018,1511
NA,"DSS in past","03-18","Need","WGSS - Remembering","4",27,"NULL",2018,1512
NA,"DSS in past","03-18","Need","WGSS - Remembering","5",1743,"NULL",2018,1513
NA,"DSS in past","03-18","Need","WGSS - Seeing","1",3723,"NULL",2018,1514
NA,"DSS in past","03-18","Need","WGSS - Seeing","2",621,"NULL",2018,1515
NA,"DSS in past","03-18","Need","WGSS - Seeing","3",135,"NULL",2018,1516
NA,"DSS in past","03-18","Need","WGSS - Seeing","4",24,"NULL",2018,1517
NA,"DSS in past","03-18","Need","WGSS - Seeing","5",1752,"NULL",2018,1518
NA,"DSS in past","03-18","Need","WGSS - Walking","1",3885,"NULL",2018,1519
NA,"DSS in past","03-18","Need","WGSS - Walking","2",444,"NULL",2018,1520
NA,"DSS in past","03-18","Need","WGSS - Walking","3",117,"NULL",2018,1521
NA,"DSS in past","03-18","Need","WGSS - Walking","4",60,"NULL",2018,1522
NA,"DSS in past","03-18","Need","WGSS - Walking","5",1746,"NULL",2018,1523
NA,"DSS in past","03-18","Need","WGSS - Washing","1",3756,"NULL",2018,1524
NA,"DSS in past","03-18","Need","WGSS - Washing","2",540,"NULL",2018,1525
NA,"DSS in past","03-18","Need","WGSS - Washing","3",129,"NULL",2018,1526
NA,"DSS in past","03-18","Need","WGSS - Washing","4",87,"NULL",2018,1527
NA,"DSS in past","03-18","Need","WGSS - Washing","5",1743,"NULL",2018,1528
NA,"DSS in past","03-18","Need","Wheelchair dependence","0",6141,"NULL",2018,1529
NA,"DSS in past","03-18","Need","Wheelchair dependence","1",108,"NULL",2018,1530
NA,"DSS in past","03-18","Oranga Tamariki","Person has any drivers licence","0",5556,"NULL",2018,1531
NA,"DSS in past","03-18","Oranga Tamariki","Person has any drivers licence","1",693,"NULL",2018,1532
NA,"DSS in past","03-18","Oranga Tamariki","Person has full drivers licence","0",6207,"NULL",2018,1533
NA,"DSS in past","03-18","Oranga Tamariki","Person has full drivers licence","1",45,"NULL",2018,1534
NA,"DSS in past","03-18","Oranga Tamariki","Person has had care placement","0",6249,"NULL",2018,1535
NA,"DSS in past","03-18","Oranga Tamariki","Person has had care placement","1",0,"NULL",2018,1536
NA,"DSS in past","03-18","Oranga Tamariki","Person is subject of a ROC","0",3594,"NULL",2018,1537
NA,"DSS in past","03-18","Oranga Tamariki","Person is subject of a ROC","1",2655,"NULL",2018,1538
NA,"DSS in past","03-18","Oranga Tamariki","Person is subject of investigation","0",4005,"NULL",2018,1539
NA,"DSS in past","03-18","Oranga Tamariki","Person is subject of investigation","1",2247,"NULL",2018,1540
NA,"DSS in past","03-18","Oranga Tamariki","Persons child has had care placement","1",0,"NULL",2018,1541
NA,"DSS in past","03-18","Oranga Tamariki","Persons child has had care placement","NULL",6249,"NULL",2018,1542
NA,"DSS in past","03-18","Oranga Tamariki","Persons child is subject of a ROC","0",12,"NULL",2018,1543
NA,"DSS in past","03-18","Oranga Tamariki","Persons child is subject of a ROC","1",6,"NULL",2018,1544
NA,"DSS in past","03-18","Oranga Tamariki","Persons child is subject of a ROC","NULL",6231,"NULL",2018,1545
NA,"DSS in past","03-18","Oranga Tamariki","Persons child is subject of investigation","0",12,"NULL",2018,1546
NA,"DSS in past","03-18","Oranga Tamariki","Persons child is subject of investigation","1",0,"NULL",2018,1547
NA,"DSS in past","03-18","Oranga Tamariki","Persons child is subject of investigation","NULL",6231,"NULL",2018,1548
NA,"DSS in past","03-18","Oranga Tamariki","Persons parent has any drivers licence","0",1800,"NULL",2018,1549
NA,"DSS in past","03-18","Oranga Tamariki","Persons parent has any drivers licence","1",4449,"NULL",2018,1550
NA,"DSS in past","03-18","Oranga Tamariki","Persons parent has full drivers licence","0",2979,"NULL",2018,1551
NA,"DSS in past","03-18","Oranga Tamariki","Persons parent has full drivers licence","1",3270,"NULL",2018,1552
NA,"DSS in past","03-18","Parent SES","Parent 1 highest qual (NQF)","0",567,"NULL",2018,1553
NA,"DSS in past","03-18","Parent SES","Parent 1 highest qual (NQF)","1",618,"NULL",2018,1554
NA,"DSS in past","03-18","Parent SES","Parent 1 highest qual (NQF)","2",642,"NULL",2018,1555
NA,"DSS in past","03-18","Parent SES","Parent 1 highest qual (NQF)","3",978,"NULL",2018,1556
NA,"DSS in past","03-18","Parent SES","Parent 1 highest qual (NQF)","4",666,"NULL",2018,1557
NA,"DSS in past","03-18","Parent SES","Parent 1 highest qual (NQF)","5",492,"NULL",2018,1558
NA,"DSS in past","03-18","Parent SES","Parent 1 highest qual (NQF)","6",252,"NULL",2018,1559
NA,"DSS in past","03-18","Parent SES","Parent 1 highest qual (NQF)","7",708,"NULL",2018,1560
NA,"DSS in past","03-18","Parent SES","Parent 1 highest qual (NQF)","8",267,"NULL",2018,1561
NA,"DSS in past","03-18","Parent SES","Parent 1 highest qual (NQF)","9",129,"NULL",2018,1562
NA,"DSS in past","03-18","Parent SES","Parent 1 highest qual (NQF)","10",15,"NULL",2018,1563
NA,"DSS in past","03-18","Parent SES","Parent 1 highest qual (NQF)","NULL",921,"NULL",2018,1564
NA,"DSS in past","03-18","Parent SES","Parent 1 income bands","A:NULL",27,"NULL",2018,1565
NA,"DSS in past","03-18","Parent SES","Parent 1 income bands","B:Loss",24,"NULL",2018,1566
NA,"DSS in past","03-18","Parent SES","Parent 1 income bands","C:Zero Income",141,"NULL",2018,1567
NA,"DSS in past","03-18","Parent SES","Parent 1 income bands","D:$1-$5,000",198,"NULL",2018,1568
NA,"DSS in past","03-18","Parent SES","Parent 1 income bands","E:$5,001-$10,000",192,"NULL",2018,1569
NA,"DSS in past","03-18","Parent SES","Parent 1 income bands","F:$10,001-$15,000",243,"NULL",2018,1570
NA,"DSS in past","03-18","Parent SES","Parent 1 income bands","G:$15,001-$20,000",252,"NULL",2018,1571
NA,"DSS in past","03-18","Parent SES","Parent 1 income bands","H:$20,001-$25,000",255,"NULL",2018,1572
NA,"DSS in past","03-18","Parent SES","Parent 1 income bands","I:$25,001-$30,000",318,"NULL",2018,1573
NA,"DSS in past","03-18","Parent SES","Parent 1 income bands","J:$30,001-$35,000",369,"NULL",2018,1574
NA,"DSS in past","03-18","Parent SES","Parent 1 income bands","K:$35,001-$40,000",339,"NULL",2018,1575
NA,"DSS in past","03-18","Parent SES","Parent 1 income bands","L:$40,001-$50,000",807,"NULL",2018,1576
NA,"DSS in past","03-18","Parent SES","Parent 1 income bands","M:$50,001-$60,000",906,"NULL",2018,1577
NA,"DSS in past","03-18","Parent SES","Parent 1 income bands","N:$60,001-$70,000",552,"NULL",2018,1578
NA,"DSS in past","03-18","Parent SES","Parent 1 income bands","NULL",888,"NULL",2018,1579
NA,"DSS in past","03-18","Parent SES","Parent 1 income bands","O:$70,001-$100,000",480,"NULL",2018,1580
NA,"DSS in past","03-18","Parent SES","Parent 1 income bands","P:$100,001-$150,000",156,"NULL",2018,1581
NA,"DSS in past","03-18","Parent SES","Parent 1 income bands","Q:$150,001 or More",90,"NULL",2018,1582
NA,"DSS in past","03-18","Parent SES","Parent 1 income bands","Z:Not Stated",0,"NULL",2018,1583
NA,"DSS in past","03-18","Parent SES","Parent 1 main benefit","0",2841,"NULL",2018,1584
NA,"DSS in past","03-18","Parent SES","Parent 1 main benefit","1",3411,"NULL",2018,1585
NA,"DSS in past","03-18","Parent SES","Parent 1 total income","NULL",6252,"247831314",2018,1586
NA,"DSS in past","03-18","Parent SES","Parent 1 wages/salary","0",3204,"NULL",2018,1587
NA,"DSS in past","03-18","Parent SES","Parent 1 wages/salary","1",3048,"NULL",2018,1588
